End_year,Name,Release_season,Release_year
,The Garden of Sinners Movie 5: Paradox Paradigm,,2008
2013,Bakuman. 3,Fall ,2012
,The Disastrous Life of Saiki K.,Summer,2016
,Given: Uragawa no Sonzai,,2021
,Black Butler: Book of the Atlantic,,2017
,The Boy and the Beast,,2015
,"Miss Kobayashi's Dragon Maid S",Summer,2021
,Kono Oto Tomare! 2nd Season,Fall ,2019
,The Disappearance of Haruhi Suzumiya,,2010
,Kizumonogatari Part 2: Nekketsu,,2016
,Mushishi Zoku Shou: Suzu no Shizuku,,2015
,Overlord III,Summer,2018
,Re:ZERO -Starting Life in Another World- Season 2: Part II,Winter,2021
,Laid-Back Camp 2nd Season,Winter,2021
,Saga of Tanya the Evil Movie,,2019
,Mushishi Zoku Shou: Odoro no Michi,,2014
,The Disastrous Life of Saiki K. 3,,2018
2012,Hellsing Ultimate,,2006
,"Natsume's Book of Friends Season 5 Specials",,2017
,"JoJo's Bizarre Adventure Re-Edited",,2014
2015,Parasyte -the maxim-,Fall ,2014
,Hikari: Be My Light,,2020
,Ouran High School Host Club,Spring,2006
,Food Wars! The Second Plate,Summer,2016
2005,Ghost in the Shell: Stand Alone Complex 2nd Gig,Winter,2004
,Barakamon,Summer,2014
,Noragami Aragoto,Fall ,2015
2020,Ace of the Diamond: Act II,Spring,2019
,Re:ZERO -Starting Life in Another World- Season 2,Summer,2020
,Ascendance of a Bookworm: Part II,Spring,2020
,"Kamisama Kiss: Kamisama, Shiawase ni Naru",,2016
,Quanzhi Gaoshou: Tebie Pian,,2018
,Steins;Gate 0,Spring,2018
,Golden Kamuy Season 3,Fall ,2020
,Weathering With You,,2019
,Semantic Error,,2021
,86: Eighty-Six - Part II,Fall ,2021
,Dou Po Cangqiong 4th Season,,2021
,School Babysitters,Winter,2018
,Douluo Dalu,,2018
,The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B),,2009
,Major Season 5,Winter,2009
,Bungo Stray Dogs 2nd Season,Fall ,2016
,Maquia: When the Promised Flower Blooms,,2018
,Steins;Gate: Egoistic Poriomania,,2012
2006,Mushishi,Fall ,2005
,The Stranger by the Shore,,2020
,One Piece Movie 10: Strong World,,2009
,Food Wars! The Third Plate,Fall ,2017
,"Kuroko's Basketball: Last Game",,2017
,Tengen Toppa Gurren Lagann,Spring,2007
,Kamisama Kiss,Fall ,2012
,Moriarty the Patriot,Fall ,2020
,"Kuroko's Basketball: The Greatest Present",,2015
,Kaguya-sama: Love Is War,Winter,2019
,Food Wars! Shokugeki no Souma,Spring,2015
,Mushoku Tensei: Jobless Reincarnation,Winter,2021
,Snow White with the Red Hair 2nd Season,Winter,2016
,"JoJo's Bizarre Adventure: Stardust Crusaders",Spring,2014
,Natsume Yuujinchou: Itsuka Yuki no Hi ni,,2014
,Detective Conan: Episode One - The Great Detective Turned Small,,2016
,No Game No Life,Spring,2014
,Chihayafuru 2,Winter,2013
,Gintama: Yorinuki Gintama-san on Theater 2D,,2012
1997,Legend of the Galactic Heroes,,1988
,The Quintessential Quintuplets 2,Winter,2021
,Black Butler: Book of Murder,,2014
,Yuri!!! on Ice: Welcome to The Madness,,2017
,My Neighbor Totoro,,1988
,Food Wars! The Third Plate: Totsuki Train Arc,Spring,2018
,Anohana: The Flower We Saw That Day,Spring,2011
,Gintama: Aizome Kaori-hen,,2016
,Fate/stay night: Unlimited Blade Works 2,Spring,2015
,"Fate/stay night: Heaven's Feel II. lost butterfly",,2019
,Hunter x Hunter OVA 3: Greed Island Final,,2004
,"Kuroko's Basketball",Spring,2012
2017,Naruto Shippuden,Winter,2007
,Maid-sama!,Spring,2010
2019,Fairy Tail: Final Season,Fall ,2018
,Scissor Seven 3rd Season,,2021
2016,Fairy Tail 2,Spring,2014
,Hajime no Ippo: Champion Road,,2003
2020,Chihayafuru 3,Fall ,2019
,Haikyuu!! Riku vs Kuu,,2020
,Violet Evergarden Special,,2018
2012,Bakuman. 2,Fall ,2011
,Spice and Wolf II,Summer,2009
2014,Magi: The Kingdom of Magic,Fall ,2013
,Black Butler: Book of Circus,Summer,2014
,Gintama: Shinyaku Benizakura-hen Special,,2010
2015,Yona of the Dawn,Fall ,2014
,Evangelion: 3.0+1.0 Thrice Upon a Time,,2021
,Haikyuu!! Movie 2: Shousha to Haisha,,2015
,School Babysitters Special,,2018
,Toilet-Bound Hanako-kun,Winter,2020
,Shelter,,2016
2020,Scissor Seven 2nd Season,,2019
,Non Non Biyori Nonstop,Winter,2021
2005,Samurai Champloo,Spring,2004
2019,Run with the Wind,Fall ,2018
,My Dress-Up Darling,Winter,2022
,Grave of the Fireflies,,1988
,"JoJo's Bizarre Adventure: Phantom Blood",,2007
,Tengen Toppa Gurren Lagann: Lagann-hen,,2009
,Haikyuu!! Movie 1: Owari to Hajimari,,2015
,No Game No Life: Zero,,2017
,Shouwa Genroku Rakugo Shinjuu,Winter,2016
,Dragon Ball Super Movie: Broly,,2018
,Detective Conan Movie 20: The Darkest Nightmare,,2016
,Sasaki and Miyano,Winter,2022
,Black Lagoon: The Second Barrage,Fall ,2006
2016,Ace of the Diamond: Second Season,Spring,2015
,My Teen Romantic Comedy SNAFU Climax,Summer,2020
,Evangelion: 2.0 You Can (Not) Advance,,2009
,Major Season 6,Spring,2010
,Bungo Stray Dogs Wan!,Winter,2021
,Made in Abyss: Hourou Suru Tasogare,,2019
,Rascal Does Not Dream of Bunny Girl Senpai,Fall ,2018
2014,Kingdom 2,Summer,2013
2010,InuYasha: The Final Act,Fall ,2009
,Gintama: The Semi-Final,Winter,2021
,Major Season 3,Winter,2007
,Bungo Stray Dogs Movie: Dead Apple,,2018
2012,Major: World Series,,2011
,Overlord,Summer,2015
,Shanhe Jian Xin,,2021
,World Trigger 3rd Season,Fall ,2021
,Nausicaa of the Valley of the Wind,,1984
,Blue Spring Ride: Page.13,,2014
2018,"The Ancient Magus' Bride",Fall ,2017
,Hunter x Hunter OVA 2: Greed Island,,2003
2005,Monster,Spring,2004
2004,Fullmetal Alchemist,Fall ,2003
,Kids on the Slope,Spring,2012
,Assassination Classroom,Winter,2015
,One Piece Film: Z,,2012
2001,Hunter x Hunter,Fall ,1999
,Zoku Owarimonogatari,,2018
,"Komi Can't Communicate",Fall ,2021
,A Place Further Than the Universe,Winter,2018
,K-On! Movie,,2011
2006,Major Season 2,Fall ,2005
,"Welcome to Demon School, Iruma-kun 2",Spring,2021
,Great Pretender,Summer,2020
,Fate/stay night: Unlimited Blade Works,Fall ,2014
,"Haikyuu!! vs. ""Akaten""",,2015
,Quanzhi Gaoshou 2,,2020
2017,"The Ancient Magus' Bride: Those Awaiting a Star",,2016
,Sword of the Stranger,,2007
,"KonoSuba – God's blessing on this wonderful world! 2",Winter,2017
,Initial D Final Stage,Spring,2014
,Cowboy Bebop: The Movie,,2001
,Rainbow: Nisha Rokubou no Shichinin,Spring,2010
,Wotakoi: Love is Hard for Otaku OVA,,2021
2005,Major Season 1,Fall ,2004
2017,Mobile Suit Gundam: Iron-Blooded Orphans 2,Fall ,2016
,Major Season 4,Winter,2008
,The Disastrous Life of Saiki K. - Reawakened,Winter,2019
,Hunter x Hunter OVA,,2002
,Saekano: How to Raise a Boring Girlfriend Fine,,2019
,ReLIFE: Kanketsu-hen,,2018
,Quanzhi Gaoshou Movie: For the Glory,,2019
,Legend of the Galactic Heroes: Die Neue These Second 3,,2019
,Kamisama Kiss OVA,,2013
2007,"History's Strongest Disciple Kenichi",Fall ,2006
,Castlevania Season 2,Fall ,2018
,Wu Dong Qiankun 2nd Season,,2020
,Baccano!,Summer,2007
2009,One Outs,Fall ,2008
,Re:ZERO -Starting Life in Another World-,Spring,2016
2009,Skip Beat!,Fall ,2008
,Golden Kamuy Season 2,Fall ,2018
,Eve: Kaikai Kitan,,2020
,Puella Magi Madoka Magica the Movie Part 3: Rebellion,,2013
,Detective Conan Movie 6: The Phantom of Baker Street,,2002
,Owarimonogatari,Fall ,2015
,Silver Spoon 2nd Season,Winter,2014
2009,Mobile Suit Gundam 00 Second Season,Fall ,2008
,When They Cry: Kai,Summer,2007
,"Natsume's Book of Friends",Summer,2008
,Detective Conan Movie 14: The Lost Ship in the Sky,,2010
,The Seven Deadly Sins: Revival of the Commandments,Winter,2018
2009,Toradora!,Fall ,2008
,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,,2013
,Grand Blue,Summer,2018
,Nodame Cantabile: Finale,Winter,2010
,xxxHOLiC Kei,Spring,2008
2010,Gintama,Spring,2006
,"Vivy: Fluorite Eye's Song",Spring,2021
2013,Psycho-Pass,Fall ,2012
,Fate/Zero,Fall ,2011
2011,xxxHOLiC Rou,,2010
2006,Initial D Fourth Stage,Spring,2004
,BELLE,,2021
,Overlord II,Winter,2018
,Chuan Shu Zijiu Zhinan,,2020
,Gintama: Jump Festa 2008,,2008
,"Sekai-ichi Hatsukoi: World's Greatest First Love 2",Fall ,2011
,Ascendance of a Bookworm,Fall ,2019
2008,Tsubasa Reservoir Chronicle: Tokyo Revelations,,2007
,Junjou Romantica 2,Fall ,2008
,The Girl Who Leapt Through Time,,2006
,Wotakoi: Love is Hard for Otaku,Spring,2018
,Berserk: Golden Age Arc III - The Advent,,2013
,Puella Magi Madoka Magica the Movie Part 2: Eternal,,2012
,Jujutsu Kaisen 0,,2021
,Nichijou: My Ordinary Life,Spring,2011
,Trigun,Spring,1998
,Summer Wars,,2009
,Saga of Tanya the Evil,Winter,2017
2019,Psychic Princess,,2018
,Junjou Romantica 3,Summer,2015
,Nodame Cantabile,Winter,2007
2014,Space Brothers,Spring,2012
,Noragami,Winter,2014
2015,The Seven Deadly Sins,Fall ,2014
,Detective Conan Movie 15: Quarter of Silence,,2011
,Death Parade,Winter,2015
2003,Ghost in the Shell: Stand Alone Complex,Fall ,2002
,Fire Force 2nd Season,Summer,2020
,Kizumonogatari Part 1: Tekketsu,,2016
,Detective Conan Movie 13: The Raven Chaser,,2009
2013,Initial D Fifth Stage,Fall ,2012
,Food Wars! The Fourth Plate,Fall ,2019
,Tokyo Ghoul,Summer,2014
2021,Swallowed Star,,2020
,Angel Beats!,Spring,2010
,In This Corner of the World,,2016
,Whisper of the Heart,,1995
,My Hero Academia 5,Spring,2021
,Castlevania Season 3,Winter,2020
,Legend of the Galactic Heroes: Die Neue These Second 2,,2019
,"My Hero Academia Movie 3: World Heroes' Mission",,2021
,Puella Magi Madoka Magica,Winter,2011
,Ping Pong The Animation,Spring,2014
1998,Rurouni Kenshin,Winter,1996
,World Trigger 2nd Season,Winter,2021
,Hajime no Ippo: Mashiba vs Kimura,,2003
,Code Geass Movie: Lelouch of the Re;surrection,,2019
2013,Star Blazers: Space Battleship Yamato 2199,,2012
2019,Yaoshenji 3rd Season,,2018
,One Piece Film: Gold,,2016
,Laid-Back Camp,Winter,2018
,Land of the Lustrous,Fall ,2017
,86: Eighty-Six,Spring,2021
2005,BECK: Mongolian Chop Squad,Fall ,2004
2010,Cross Game,Spring,2009
,Wotakoi: Love is Hard for Otaku - Youth,,2019
,Wanmei Shijie,,2021
,Sleepy Princess in the Demon Castle,Fall ,2020
,Gintama: Jump Festa 2014,,2014
,"Beyond the Boundary Movie: I'll Be Here - Future",,2015
,Ghost in the Shell: Stand Alone Complex - The Laughing Man,,2005
,Nodame Cantabile: Paris,Fall ,2008
2007,Nana,Spring,2006
,Girls und Panzer der Film,,2015
,Kimi ni Todoke - From Me To You 2nd Season,Winter,2011
,Wan Sheng Jie 2,,2020
,"Fate/stay night: Heaven's Feel I. presage flower",,2017
,Quanzhi Gaoshou,Spring,2017
,Detective Conan Movie 23: The Fist of Blue Sapphire,,2019
,My Hero Academia Movie: Two Heroes,,2018
,Trigun: Badlands Rumble,,2010
,Princess Jellyfish,Fall ,2010
,"Hozuki's Coolheadedness 2nd Season: Part II",Spring,2018
,"Miss Kobayashi's Dragon Maid",Winter,2017
,Astra Lost in Space,Summer,2019
,Assassination Classroom 2nd Season: Kagaijugyou-hen,Winter,2016
,Dou Po Cangqiong 3rd Season,,2019
,Tokyo Godfathers,,2003
,Snow White with the Red Hair,Summer,2015
2021,Black Clover,Fall ,2017
,Laputa: Castle in the Sky,,1986
,"Kiki's Delivery Service",,1989
,Detective Conan Movie 18: The Sniper From Another Dimension,,2014
,Attack on Titan Movie 3: The Roar of Awakening,,2018
,Redline,,2009
,"Love, Chunibyo & Other Delusions! Movie: Take On Me",,2018
,One-Punch Man: Road to Hero,,2015
2018,Mobile Suit Gundam: The Origin,,2015
,Non Non Biyori Movie: Vacation,,2018
,Made in Abyss: Tabidachi no Yoake,,2019
,Ghost in the Shell: Stand Alone Complex - Solid State Society,,2006
2015,Yowamushi Pedal: Grande Road,Fall ,2014
2020,"Hozuki's Coolheadedness OVA 3",,2019
,Junjou Romantica OVA 2,,2015
,Welcome to the Ballroom,Summer,2017
1994,Yu Yu Hakusho,,1992
,Katanagatari,Winter,2010
,Full Metal Panic? Fumoffu,Summer,2003
2014,Log Horizon,Fall ,2013
,Major: Message,,2010
,Keep Your Hands Off Eizouken!,Winter,2020
,Yoh Kamiyama: YELLOW,,2018
,My Teen Romantic Comedy SNAFU TOO!,Spring,2015
,Magi: Adventure of Sinbad,Spring,2016
2008,Clannad,Fall ,2007
,TONIKAWA: Over the Moon for You,Fall ,2020
,Free! Eternal Summer - Forbidden All Hard!,,2015
,The Last: Naruto the Movie,,2014
,"One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends!",,2014
,Teasing Master Takagi-san 2,Summer,2019
,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,,2012
2000,Initial D Second Stage,Fall ,1999
,Sekai-ichi Hatsukoi: Yokozawa Takafumi no Baai,,2014
2013,Fairy Tail,Fall ,2009
,Teasing Master Takagi-san 3,Winter,2022
,Omae Umasou da na Movie,,2010
,Black Lagoon,Spring,2006
,One Piece: Episode of East Blue,,2017
,Baccano! Specials,,2008
,Durarara!!,Winter,2010
,TONIKAWA: Over the Moon for You OVA,,2021
,Detective Conan Movie 8: Magician of the Silver Sky,,2004
2010,Kimi ni Todoke - From Me To You,Fall ,2009
,Spice and Wolf,Winter,2008
,Nisemonogatari,Winter,2012
,Attack on Titan: The Final Season PV,,2020
,High Speed! -Free! Starting Days-,,2015
,One Piece: Episode of Sabo,,2015
2009,Time of Eve,Summer,2008
,The Case Study of Vanitas: Part II,Winter,2022
2009,The Prince of Tennis: The National Tournament - Final,,2008
,Time of Eve Movie,,2010
,When Marnie Was There,,2014
,Megalo Box 2: Nomad,Spring,2021
,Baby Steps 2,Spring,2015
,"Kuroko's Basketball Movie 3: Winter Cup Highlights -Crossing the Door-",,2016
,Fate/stay night: Unlimited Blade Works Prologue,,2014
,Mononoke,Summer,2007
,The Tatami Galaxy,Spring,2010
,GATE (2016),Winter,2016
2013,The Pet Girl of Sakurasou,Fall ,2012
2010,Tenchi Muyo! War on Geminar,,2009
,Terror in Resonance,Summer,2014
,Durarara!! X2 The Third Arc,Winter,2016
,Nura: Rise of the Youkai Clan - Demon Capital,Summer,2011
,Full Metal Panic! The Second Raid,Summer,2005
,Gintama: Dai Hanseikai,,2010
1998,Berserk,Fall ,1997
,Durarara!! X2,Winter,2015
,Detective Conan Movie 5: Countdown to Heaven,,2001
2016,Noragami Aragoto OVA,,2015
,Stars Align,Fall ,2019
2008,Mobile Suit Gundam 00,Fall ,2007
,Link Click: Marrying by Contesting,,2021
,Obey Me! Celestial Ray,,2020
,Lupin III: Part V,Spring,2018
,Detective Conan Movie 22: Zero The Enforcer,,2018
,Free! -Take Your Marks-,,2017
2013,Magi: The Labyrinth of Magic,Fall ,2012
,ReLIFE,Summer,2016
,Dorohedoro,Winter,2020
,A Certain Scientific Railgun S,Spring,2013
,Ghost in the Shell: Stand Alone Complex - Individual Eleven,,2006
,Daily Lives of High School Boys,Winter,2012
,Asobi Asobase,Summer,2018
,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,,2015
,Patema Inverted,,2013
,Stand by Me Doraemon,,2014
,"Sekai-ichi Hatsukoi: World's Greatest First Love OVA",,2011
,"Magical Girl Lyrical Nanoha: The Movie 2nd A's",,2012
,"The Garden of Sinners Movie 3: Ever Cry, Never Life. (Remaining Sense of Pain)",,2008
,Gintama: Jump Festa 2015,,2015
2011,"Black Lagoon: Roberta's Blood Trail",,2010
,Bungo Stray Dogs,Spring,2016
,The World God Only Knows: Goddesses Arc,Summer,2013
,Legend of the Galactic Heroes: Die Neue These Second 1,,2019
,KonoSuba – God’s blessing on this wonderful world! 2 OVA,,2017
2011,Bakuman.,Fall ,2010
,Tian Bao Fuyao Lu 2nd Season,,2021
,"Hozuki's Coolheadedness 2nd Season",Fall ,2017
,xxxHOLiC Shunmuki,,2009
,Berserk: Golden Age Arc II - The Battle for Doldrey,,2012
,Yona of the Dawn OVA,,2015
,Darker than Black,Spring,2007
,Wan Sheng Jie,,2020
,Initial D,Spring,1998
,Tsukimonogatari,,2014
,Welcome to the NHK!,Summer,2006
,One-Punch Man 2,Spring,2019
2013,"JoJo's Bizarre Adventure (2012)",Fall ,2012
,Code Geass: Lelouch of the Rebellion III - Glorification,,2018
2010,Fullmetal Alchemist: Brotherhood Specials,,2009
,Detective Conan Movie 3: The Last Magician of the Century,,1999
,Free! Road to the World - Yume,,2019
,Non Non Biyori Repeat,Summer,2015
,Jormungand: Perfect Order,Fall ,2012
,Durarara!! X2 The Second Arc,Summer,2015
1996,Slam Dunk,,1993
,Aria the Origination,Winter,2008
2012,Chihayafuru,Fall ,2011
,Sound! Euphonium 2,Fall ,2016
,Sekai-ichi Hatsukoi: Valentine-hen,,2014
,Drifters,Fall ,2016
2015,Magi: Adventure of Sinbad OVA,,2014
,Promare,,2019
,Castlevania,Summer,2017
,Rurouni Kenshin: Seisouhen,,2001
,Swallowed Star 2nd Season,,2021
,"Sekai-ichi Hatsukoi: World's Greatest First Love",Spring,2011
2010,Bakemonogatari,Summer,2009
,"Kuroko's Basketball: Tip Off",,2013
,Food Wars! Toutsuki Juukketsu,,2017
,The Tale of the Princess Kaguya,,2013
,GATE,Summer,2015
,"KonoSuba – God's blessing on this wonderful world!",Winter,2016
,Snow White with the Red Hair OVA,,2016
,Carole & Tuesday,Spring,2019
,K-On!!,Spring,2010
,One Piece: Strong World - Episode 0,,2010
2021,Yi Nian Yongheng,,2020
,Hinamatsuri,Spring,2018
,School Rumble: 2nd Semester,Spring,2006
,Sword Art Online: Progressive Movie 1 - Aria of a Starless Night,,2021
,A Certain Scientific Railgun T,Winter,2020
,Evangelion: 1.0 You Are (Not) Alone,,2007
,Detective Conan Movie 19: The Hellfire Sunflowers,,2015
,My Love Story!!,Spring,2015
,InuYasha: Kuroi Tessaiga,,2008
,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Spring,2015
,Dou Po Cangqiong 2nd Season,,2018
,Working!!! Lord of the Takanashi,,2015
,Classroom of the Elite,Summer,2017
,Puella Magi Madoka Magica the Movie Part 1: Beginnings,,2012
,IDOLiSH7: Second BEAT!,Spring,2020
,Ghost in the Shell,,1995
2015,Ace of the Diamond,Fall ,2013
,"Kino's Journey",Spring,2003
2016,Mobile Suit Gundam: Iron-Blooded Orphans,Fall ,2015
2020,"Welcome to Demon School, Iruma-kun",Fall ,2019
2017,March Comes in like a Lion,Fall ,2016
,Little Busters! Refrain,Fall ,2013
,The World God Only Knows II,Spring,2011
,Code Geass: Lelouch of the Rebellion I - Initiation,,2017
2008,The Prince of Tennis: The National Tournament - Semifinal,,2007
,Bungo Stray Dogs: Walking Alone,,2017
,"Natsume's Book of Friends Movie 2",,2021
2014,"History's Strongest Disciple Kenichi OVA",,2012
,Osomatsu-san The Movie,,2019
,Moribito: Guardian of the Spirit,Spring,2007
,Kaiji - Against All Rules,Spring,2011
,My Roommate is a Cat,Winter,2019
,Space Dandy 2,Summer,2014
,Somali and the Forest Spirit,Winter,2020
,The House of Small Cubes,,2008
,Tsukimichi: Moonlit Fantasy,Summer,2021
,Hajime no Ippo: The Fighting! Special,,2003
,Tokyo Magnitude 8.0,Summer,2009
,"Detective Conan Movie 10: The Private Eyes' Requiem",,2006
,Gintama: Jump Festa 2005,,2005
,Overlord: The Undead King,,2017
,Ne Zha,,2019
,Blue Period.,Fall ,2021
,Fairy Tail Movie 2: Dragon Cry,,2017
,Fire Force,Summer,2019
,Erin,Winter,2009
,"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",Winter,2020
,Touhou Gensou Mangekyou: The Memories of Phantasm,,2011
,Haikyuu!! Lev Kenzan!,,2014
,Broken Blade Movie 4: The Land of Calamity,,2010
2014,Yowamushi Pedal,Fall ,2013
,"Gurren Lagann Movie 1: Childhood's End",,2008
,The Secret World of Arrietty,,2010
,Detective Conan Movie 4: Captured In her Eyes,,2000
,Working!!!,Summer,2015
,Slayers Next,,1996
,A Day Before Us 2,,2018
,Detroit Metal City,,2008
2007,Kanon (2006),Fall ,2006
,Silver Spoon,Summer,2013
,Liang Bu Yi,,2021
,Wu Dong Qiankun,,2019
2009,Soul Eater,Spring,2008
,Aggretsuko 3,Summer,2020
,Lupin III: The First,,2019
,Attack on Titan Movie 4: Chronicle,,2020
2021,Ling Jian Zun 4th Season,,2020
,Aggretsuko 2,Spring,2019
,Nekomonogatari (Black),,2012
,Wu Shan Wu Xing,,2020
,Yaoshenji 4th Season,,2020
2012,Bunny Drop Specials,,2011
